TAL;BOPKOM;KØN;TID;INDHOLD
Full-time employees;Frederiksberg;Total;2008Q3;40384
Full-time employees;Frederiksberg;Total;2008Q4;40683
Full-time employees;Frederiksberg;Total;2009Q1;40274
Full-time employees;Frederiksberg;Total;2009Q2;40411
Full-time employees;Frederiksberg;Total;2009Q3;39990
Full-time employees;Frederiksberg;Total;2009Q4;39953
Full-time employees;Frederiksberg;Total;2010Q1;39654
Full-time employees;Frederiksberg;Total;2010Q2;40079
Full-time employees;Frederiksberg;Total;2010Q3;39907
Full-time employees;Frederiksberg;Total;2010Q4;40238
Full-time employees;Frederiksberg;Total;2011Q1;39965
Full-time employees;Frederiksberg;Total;2011Q2;40383
Full-time employees;Frederiksberg;Total;2011Q3;40483
Full-time employees;Frederiksberg;Total;2011Q4;40786
Full-time employees;Frederiksberg;Total;2012Q1;40570
Full-time employees;Frederiksberg;Total;2012Q2;40938
Full-time employees;Frederiksberg;Total;2012Q3;40868
Full-time employees;Frederiksberg;Total;2012Q4;41243
Full-time employees;Frederiksberg;Total;2013Q1;40726
Full-time employees;Frederiksberg;Total;2013Q2;41010
Full-time employees;Frederiksberg;Total;2013Q3;41167
Full-time employees;Frederiksberg;Total;2013Q4;41656
Full-time employees;Frederiksberg;Total;2014Q1;41344
Full-time employees;Frederiksberg;Total;2014Q2;41965
Full-time employees;Frederiksberg;Total;2014Q3;41687
Full-time employees;Frederiksberg;Total;2014Q4;42240
Full-time employees;Frederiksberg;Total;2015Q1;41848
Full-time employees;Frederiksberg;Total;2015Q2;42542
Full-time employees;Frederiksberg;Total;2015Q3;42337
Full-time employees;Frederiksberg;Total;2015Q4;42993
Full-time employees;Frederiksberg;Total;2016Q1;42445
Full-time employees;Frederiksberg;Total;2016Q2;43107
Full-time employees;Frederiksberg;Total;2016Q3;42771
Full-time employees;Frederiksberg;Total;2016Q4;43283
Full-time employees;Frederiksberg;Total;2017Q1;42696
Full-time employees;Frederiksberg;Total;2017Q2;43241
Full-time employees;Frederiksberg;Total;2017Q3;43010
Full-time employees;Frederiksberg;Total;2017Q4;43558
Full-time employees;Frederiksberg;Total;2018Q1;43082
Full-time employees;Frederiksberg;Total;2018Q2;43737
Full-time employees;Frederiksberg;Total;2018Q3;43410
Full-time employees;Frederiksberg;Total;2018Q4;43955
Full-time employees;Frederiksberg;Total;2019Q1;43577
Full-time employees;Frederiksberg;Total;2019Q2;44207
Full-time employees;Frederiksberg;Total;2019Q3;44049
Full-time employees;Frederiksberg;Total;2019Q4;44575
Full-time employees;Frederiksberg;Total;2020Q1;44011
Full-time employees;Frederiksberg;Total;2020Q2;43761
Full-time employees;Frederiksberg;Total;2020Q3;43462
Full-time employees;Frederiksberg;Total;2020Q4;44151
Full-time employees;Frederiksberg;Total;2021Q1;43528
Full-time employees;Frederiksberg;Total;2021Q2;44542
Full-time employees;Frederiksberg;Total;2021Q3;44665
Full-time employees;Frederiksberg;Total;2021Q4;45707
Full-time employees;Frederiksberg;Total;2022Q1;45559
Full-time employees;Frederiksberg;Total;2022Q2;46250
Full-time employees;Frederiksberg;Total;2022Q3;45999
Full-time employees;Frederiksberg;Total;2022Q4;46920
Full-time employees;Frederiksberg;Total;2023Q1;46591
Full-time employees;Frederiksberg;Total;2023Q2;47226
Full-time employees;Frederiksberg;Total;2023Q3;46940
Full-time employees;Frederiksberg;Total;2023Q4;47494
Full-time employees;Frederiksberg;Total;2024Q1;47113
Full-time employees;Frederiksberg;Total;2024Q2;47958
Full-time employees;Frederiksberg;Total;2024Q3;47283
Full-time employees;Frederiksberg;Total;2024Q4;48017
Full-time employees;Frederiksberg;Total;2025Q1;47626
Full-time employees;Frederiksberg;Total;2025Q2;48362
Full-time employees;Frederiksberg;Total;2025Q3;48036
Full-time employees;Dragør;Total;2008Q1;5446
Full-time employees;Dragør;Total;2008Q2;5508
Full-time employees;Dragør;Total;2008Q3;5509
Full-time employees;Dragør;Total;2008Q4;5496
Full-time employees;Dragør;Total;2009Q1;5401
Full-time employees;Dragør;Total;2009Q2;5418
Full-time employees;Dragør;Total;2009Q3;5380
Full-time employees;Dragør;Total;2009Q4;5384
Full-time employees;Dragør;Total;2010Q1;5331
Full-time employees;Dragør;Total;2010Q2;5371
Full-time employees;Dragør;Total;2010Q3;5337
Full-time employees;Dragør;Total;2010Q4;5382
Full-time employees;Dragør;Total;2011Q1;5313
Full-time employees;Dragør;Total;2011Q2;5333
Full-time employees;Dragør;Total;2011Q3;5293
Full-time employees;Dragør;Total;2011Q4;5337
Full-time employees;Dragør;Total;2012Q1;5277
Full-time employees;Dragør;Total;2012Q2;5361
Full-time employees;Dragør;Total;2012Q3;5340
Full-time employees;Dragør;Total;2012Q4;5418
Full-time employees;Dragør;Total;2013Q1;5305
Full-time employees;Dragør;Total;2013Q2;5337
Full-time employees;Dragør;Total;2013Q3;5359
Full-time employees;Dragør;Total;2013Q4;5432
Full-time employees;Dragør;Total;2014Q1;5347
Full-time employees;Dragør;Total;2014Q2;5399
Full-time employees;Dragør;Total;2014Q3;5347
Full-time employees;Dragør;Total;2014Q4;5398
Full-time employees;Dragør;Total;2015Q1;5315
Full-time employees;Dragør;Total;2015Q2;5388
Full-time employees;Dragør;Total;2015Q3;5366
Full-time employees;Dragør;Total;2015Q4;5430
Full-time employees;Dragør;Total;2016Q1;5348
Full-time employees;Dragør;Total;2016Q2;5391
Full-time employees;Dragør;Total;2016Q3;5380
Full-time employees;Dragør;Total;2016Q4;5436
Full-time employees;Dragør;Total;2017Q1;5371
Full-time employees;Dragør;Total;2017Q2;5444
Full-time employees;Dragør;Total;2017Q3;5458
Full-time employees;Dragør;Total;2017Q4;5523
Full-time employees;Dragør;Total;2018Q1;5420
Full-time employees;Dragør;Total;2018Q2;5490
Full-time employees;Dragør;Total;2018Q3;5499
Full-time employees;Dragør;Total;2018Q4;5580
Full-time employees;Dragør;Total;2019Q1;5536
Full-time employees;Dragør;Total;2019Q2;5620
Full-time employees;Dragør;Total;2019Q3;5620
Full-time employees;Dragør;Total;2019Q4;5692
Full-time employees;Dragør;Total;2020Q1;5605
Full-time employees;Dragør;Total;2020Q2;5554
Full-time employees;Dragør;Total;2020Q3;5544
Full-time employees;Dragør;Total;2020Q4;5655
Full-time employees;Dragør;Total;2021Q1;5545
Full-time employees;Dragør;Total;2021Q2;5622
Full-time employees;Dragør;Total;2021Q3;5689
Full-time employees;Dragør;Total;2021Q4;5799
Full-time employees;Dragør;Total;2022Q1;5764
Full-time employees;Dragør;Total;2022Q2;5831
Full-time employees;Dragør;Total;2022Q3;5815
Full-time employees;Dragør;Total;2022Q4;5909
Full-time employees;Dragør;Total;2023Q1;5819
Full-time employees;Dragør;Total;2023Q2;5855
Full-time employees;Dragør;Total;2023Q3;5849
Full-time employees;Dragør;Total;2023Q4;5904
Full-time employees;Dragør;Total;2024Q1;5823
Full-time employees;Dragør;Total;2024Q2;5876
Full-time employees;Dragør;Total;2024Q3;5804
Full-time employees;Dragør;Total;2024Q4;5854
Full-time employees;Dragør;Total;2025Q1;5793
Full-time employees;Dragør;Total;2025Q2;5875
Full-time employees;Dragør;Total;2025Q3;5793
Full-time employees;Tårnby;Total;2008Q1;17353
Full-time employees;Tårnby;Total;2008Q2;17607
Full-time employees;Tårnby;Total;2008Q3;17399
Full-time employees;Tårnby;Total;2008Q4;17491
Full-time employees;Tårnby;Total;2009Q1;17058
Full-time employees;Tårnby;Total;2009Q2;17039
Full-time employees;Tårnby;Total;2009Q3;16861
Full-time employees;Tårnby;Total;2009Q4;16866
Full-time employees;Tårnby;Total;2010Q1;16551
Full-time employees;Tårnby;Total;2010Q2;16639
Full-time employees;Tårnby;Total;2010Q3;16550
Full-time employees;Tårnby;Total;2010Q4;16732
Full-time employees;Tårnby;Total;2011Q1;16542
Full-time employees;Tårnby;Total;2011Q2;16710
Full-time employees;Tårnby;Total;2011Q3;16817
Full-time employees;Tårnby;Total;2011Q4;16992
Full-time employees;Tårnby;Total;2012Q1;16739
Full-time employees;Tårnby;Total;2012Q2;16829
