OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Region Hovedstaden;Total;80 years;Total;2022Q1;10189
Region Hovedstaden;Total;81 years;Total;2008Q1;7331
Region Hovedstaden;Total;81 years;Total;2011Q1;7031
Region Hovedstaden;Total;81 years;Total;2015Q1;7247
Region Hovedstaden;Total;81 years;Total;2019Q1;8537
Region Hovedstaden;Total;81 years;Total;2022Q1;9790
Region Hovedstaden;Total;82 years;Total;2008Q1;6981
Region Hovedstaden;Total;82 years;Total;2011Q1;6686
Region Hovedstaden;Total;82 years;Total;2015Q1;6699
Region Hovedstaden;Total;82 years;Total;2019Q1;7578
Region Hovedstaden;Total;82 years;Total;2022Q1;8824
Region Hovedstaden;Total;83 years;Total;2008Q1;6497
Region Hovedstaden;Total;83 years;Total;2011Q1;6151
Region Hovedstaden;Total;83 years;Total;2015Q1;6145
Region Hovedstaden;Total;83 years;Total;2019Q1;6739
Region Hovedstaden;Total;83 years;Total;2022Q1;8062
Region Hovedstaden;Total;84 years;Total;2008Q1;6060
Region Hovedstaden;Total;84 years;Total;2011Q1;5746
Region Hovedstaden;Total;84 years;Total;2015Q1;5623
Region Hovedstaden;Total;84 years;Total;2019Q1;6174
Region Hovedstaden;Total;84 years;Total;2022Q1;7133
Region Hovedstaden;Total;85 years;Total;2008Q1;5324
Region Hovedstaden;Total;85 years;Total;2011Q1;5338
Region Hovedstaden;Total;85 years;Total;2015Q1;5126
Region Hovedstaden;Total;85 years;Total;2019Q1;5447
Region Hovedstaden;Total;85 years;Total;2022Q1;6047
Region Hovedstaden;Total;86 years;Total;2008Q1;5108
Region Hovedstaden;Total;86 years;Total;2011Q1;4844
Region Hovedstaden;Total;86 years;Total;2015Q1;4754
Region Hovedstaden;Total;86 years;Total;2019Q1;4795
Region Hovedstaden;Total;86 years;Total;2022Q1;5234
Region Hovedstaden;Total;87 years;Total;2008Q1;4649
Region Hovedstaden;Total;87 years;Total;2011Q1;4395
Region Hovedstaden;Total;87 years;Total;2015Q1;4201
Region Hovedstaden;Total;87 years;Total;2019Q1;4138
Region Hovedstaden;Total;87 years;Total;2022Q1;4632
Region Hovedstaden;Total;88 years;Total;2008Q1;3556
Region Hovedstaden;Total;88 years;Total;2011Q1;3610
Region Hovedstaden;Total;88 years;Total;2015Q1;3795
Region Hovedstaden;Total;88 years;Total;2019Q1;3694
Region Hovedstaden;Total;88 years;Total;2022Q1;3942
Region Hovedstaden;Total;89 years;Total;2008Q1;3249
