OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Varde;Total;Age, total;Total;2019Q1;50129
Varde;Total;Age, total;Total;2022Q1;49664
Vejen;Total;Age, total;Total;2008Q1;42447
Vejen;Total;Age, total;Total;2011Q1;42683
Vejen;Total;Age, total;Total;2015Q1;42601
Vejen;Total;Age, total;Total;2019Q1;42863
Vejen;Total;Age, total;Total;2022Q1;42596
Vejle;Total;Age, total;Total;2008Q1;104933
Vejle;Total;Age, total;Total;2011Q1;107218
Vejle;Total;Age, total;Total;2015Q1;110471
Vejle;Total;Age, total;Total;2019Q1;114830
Vejle;Total;Age, total;Total;2022Q1;119060
Aabenraa;Total;Age, total;Total;2008Q1;60189
Aabenraa;Total;Age, total;Total;2011Q1;59795
Aabenraa;Total;Age, total;Total;2015Q1;58904
Aabenraa;Total;Age, total;Total;2019Q1;59035
Aabenraa;Total;Age, total;Total;2022Q1;58693
Region Midtjylland;Total;Age, total;Total;2008Q1;1237041
Region Midtjylland;Total;Age, total;Total;2011Q1;1260993
Region Midtjylland;Total;Age, total;Total;2015Q1;1282750
Region Midtjylland;Total;Age, total;Total;2019Q1;1320678
Region Midtjylland;Total;Age, total;Total;2022Q1;1341857
Favrskov;Total;Age, total;Total;2008Q1;45604
Favrskov;Total;Age, total;Total;2011Q1;46894
Favrskov;Total;Age, total;Total;2015Q1;47523
Favrskov;Total;Age, total;Total;2019Q1;48374
Favrskov;Total;Age, total;Total;2022Q1;48880
Hedensted;Total;Age, total;Total;2008Q1;45561
Hedensted;Total;Age, total;Total;2011Q1;45980
Hedensted;Total;Age, total;Total;2015Q1;46091
Hedensted;Total;Age, total;Total;2019Q1;46747
Hedensted;Total;Age, total;Total;2022Q1;47099
Horsens;Total;Age, total;Total;2008Q1;80102
Horsens;Total;Age, total;Total;2011Q1;82835
Horsens;Total;Age, total;Total;2015Q1;86361
Horsens;Total;Age, total;Total;2019Q1;90370
Horsens;Total;Age, total;Total;2022Q1;94443
Norddjurs;Total;Age, total;Total;2008Q1;38581
Norddjurs;Total;Age, total;Total;2011Q1;38029
Norddjurs;Total;Age, total;Total;2015Q1;37898
Norddjurs;Total;Age, total;Total;2019Q1;37680
Norddjurs;Total;Age, total;Total;2022Q1;36921
Odder;Total;Age, total;Total;2008Q1;21562
Odder;Total;Age, total;Total;2011Q1;21852
Odder;Total;Age, total;Total;2015Q1;21928
Odder;Total;Age, total;Total;2019Q1;22675
Odder;Total;Age, total;Total;2022Q1;23304
Randers;Total;Age, total;Total;2008Q1;93644
Randers;Total;Age, total;Total;2011Q1;95318
Randers;Total;Age, total;Total;2015Q1;96800
Randers;Total;Age, total;Total;2019Q1;97909
Randers;Total;Age, total;Total;2022Q1;98988
Samsø;Total;Age, total;Total;2008Q1;4085
Samsø;Total;Age, total;Total;2011Q1;3885
Samsø;Total;Age, total;Total;2015Q1;3733
Samsø;Total;Age, total;Total;2019Q1;3684
Samsø;Total;Age, total;Total;2022Q1;3716
Silkeborg;Total;Age, total;Total;2008Q1;87371
Silkeborg;Total;Age, total;Total;2011Q1;88913
Silkeborg;Total;Age, total;Total;2015Q1;90016
Silkeborg;Total;Age, total;Total;2019Q1;93054
Silkeborg;Total;Age, total;Total;2022Q1;97358
Skanderborg;Total;Age, total;Total;2008Q1;56044
Skanderborg;Total;Age, total;Total;2011Q1;57717
Skanderborg;Total;Age, total;Total;2015Q1;58782
Skanderborg;Total;Age, total;Total;2019Q1;61974
Skanderborg;Total;Age, total;Total;2022Q1;64318
Syddjurs;Total;Age, total;Total;2008Q1;41281
Syddjurs;Total;Age, total;Total;2011Q1;41734
Syddjurs;Total;Age, total;Total;2015Q1;41652
Syddjurs;Total;Age, total;Total;2019Q1;42768
Syddjurs;Total;Age, total;Total;2022Q1;43596
Aarhus;Total;Age, total;Total;2008Q1;298538
Aarhus;Total;Age, total;Total;2011Q1;310956
Aarhus;Total;Age, total;Total;2015Q1;326246
Aarhus;Total;Age, total;Total;2019Q1;345332
Aarhus;Total;Age, total;Total;2022Q1;355238
Herning;Total;Age, total;Total;2008Q1;84208
Herning;Total;Age, total;Total;2011Q1;85852
Herning;Total;Age, total;Total;2015Q1;86864
Herning;Total;Age, total;Total;2019Q1;88917
Herning;Total;Age, total;Total;2022Q1;89230
Holstebro;Total;Age, total;Total;2008Q1;57020
Holstebro;Total;Age, total;Total;2011Q1;57161
Holstebro;Total;Age, total;Total;2015Q1;57494
Holstebro;Total;Age, total;Total;2019Q1;58504
Holstebro;Total;Age, total;Total;2022Q1;58553
Ikast-Brande;Total;Age, total;Total;2008Q1;39893
Ikast-Brande;Total;Age, total;Total;2011Q1;40571
Ikast-Brande;Total;Age, total;Total;2015Q1;40598
Ikast-Brande;Total;Age, total;Total;2019Q1;41282
Ikast-Brande;Total;Age, total;Total;2022Q1;41885
Lemvig;Total;Age, total;Total;2008Q1;22067
Lemvig;Total;Age, total;Total;2011Q1;21554
Lemvig;Total;Age, total;Total;2015Q1;20657
Lemvig;Total;Age, total;Total;2019Q1;19998
Lemvig;Total;Age, total;Total;2022Q1;19398
Ringkøbing-Skjern;Total;Age, total;Total;2008Q1;58368
Ringkøbing-Skjern;Total;Age, total;Total;2011Q1;58068
Ringkøbing-Skjern;Total;Age, total;Total;2015Q1;57042
Ringkøbing-Skjern;Total;Age, total;Total;2019Q1;56930
Ringkøbing-Skjern;Total;Age, total;Total;2022Q1;56203
Skive;Total;Age, total;Total;2008Q1;48356
Skive;Total;Age, total;Total;2011Q1;47986
Skive;Total;Age, total;Total;2015Q1;46641
Skive;Total;Age, total;Total;2019Q1;46224
Skive;Total;Age, total;Total;2022Q1;45078
Struer;Total;Age, total;Total;2008Q1;22672
Struer;Total;Age, total;Total;2011Q1;22190
Struer;Total;Age, total;Total;2015Q1;21439
Struer;Total;Age, total;Total;2019Q1;21143
Struer;Total;Age, total;Total;2022Q1;20802
Viborg;Total;Age, total;Total;2008Q1;92084
Viborg;Total;Age, total;Total;2011Q1;93498
Viborg;Total;Age, total;Total;2015Q1;94985
Viborg;Total;Age, total;Total;2019Q1;97113
Viborg;Total;Age, total;Total;2022Q1;96847
Region Nordjylland;Total;Age, total;Total;2008Q1;578839
Region Nordjylland;Total;Age, total;Total;2011Q1;579829
Region Nordjylland;Total;Age, total;Total;2015Q1;582632
Region Nordjylland;Total;Age, total;Total;2019Q1;589755
Region Nordjylland;Total;Age, total;Total;2022Q1;591740
Brønderslev;Total;Age, total;Total;2008Q1;35525
Brønderslev;Total;Age, total;Total;2011Q1;35789
Brønderslev;Total;Age, total;Total;2015Q1;35781
Brønderslev;Total;Age, total;Total;2019Q1;36370
Brønderslev;Total;Age, total;Total;2022Q1;36194
Frederikshavn;Total;Age, total;Total;2008Q1;62751
Frederikshavn;Total;Age, total;Total;2011Q1;61576
Frederikshavn;Total;Age, total;Total;2015Q1;60377
Frederikshavn;Total;Age, total;Total;2019Q1;59987
Frederikshavn;Total;Age, total;Total;2022Q1;58878
Hjørring;Total;Age, total;Total;2008Q1;67121
Hjørring;Total;Age, total;Total;2011Q1;66473
Hjørring;Total;Age, total;Total;2015Q1;65295
Hjørring;Total;Age, total;Total;2019Q1;64665
Hjørring;Total;Age, total;Total;2022Q1;63839
Jammerbugt;Total;Age, total;Total;2008Q1;38957
Jammerbugt;Total;Age, total;Total;2011Q1;38733
Jammerbugt;Total;Age, total;Total;2015Q1;38293
Jammerbugt;Total;Age, total;Total;2019Q1;38460
Jammerbugt;Total;Age, total;Total;2022Q1;38187
Læsø;Total;Age, total;Total;2008Q1;2003
Læsø;Total;Age, total;Total;2011Q1;1949
Læsø;Total;Age, total;Total;2015Q1;1795
Læsø;Total;Age, total;Total;2019Q1;1806
Læsø;Total;Age, total;Total;2022Q1;1769
Mariagerfjord;Total;Age, total;Total;2008Q1;42667
Mariagerfjord;Total;Age, total;Total;2011Q1;42572
Mariagerfjord;Total;Age, total;Total;2015Q1;42134
Mariagerfjord;Total;Age, total;Total;2019Q1;42055
Mariagerfjord;Total;Age, total;Total;2022Q1;41662
Morsø;Total;Age, total;Total;2008Q1;22091
Morsø;Total;Age, total;Total;2011Q1;21600
Morsø;Total;Age, total;Total;2015Q1;20816
Morsø;Total;Age, total;Total;2019Q1;20403
Morsø;Total;Age, total;Total;2022Q1;20068
Rebild;Total;Age, total;Total;2008Q1;28753
Rebild;Total;Age, total;Total;2011Q1;28940
Rebild;Total;Age, total;Total;2015Q1;28859
Rebild;Total;Age, total;Total;2019Q1;29916
Rebild;Total;Age, total;Total;2022Q1;30646
Thisted;Total;Age, total;Total;2008Q1;45549
Thisted;Total;Age, total;Total;2011Q1;45145
Thisted;Total;Age, total;Total;2015Q1;44078
Thisted;Total;Age, total;Total;2019Q1;43660
Thisted;Total;Age, total;Total;2022Q1;43089
Vesthimmerlands;Total;Age, total;Total;2008Q1;38277
Vesthimmerlands;Total;Age, total;Total;2011Q1;37864
Vesthimmerlands;Total;Age, total;Total;2015Q1;37399
Vesthimmerlands;Total;Age, total;Total;2019Q1;37121
Vesthimmerlands;Total;Age, total;Total;2022Q1;36326
Aalborg;Total;Age, total;Total;2008Q1;195145
Aalborg;Total;Age, total;Total;2011Q1;199188
Aalborg;Total;Age, total;Total;2015Q1;207805
Aalborg;Total;Age, total;Total;2019Q1;215312
