BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
Norddjurs;Total;H70 Masters programs;Age, total;Total;2022;785
Odder;Total;H70 Masters programs;Age, total;Total;2008;765
Odder;Total;H70 Masters programs;Age, total;Total;2011;818
Odder;Total;H70 Masters programs;Age, total;Total;2015;966
Odder;Total;H70 Masters programs;Age, total;Total;2019;1158
Odder;Total;H70 Masters programs;Age, total;Total;2022;1381
Randers;Total;H70 Masters programs;Age, total;Total;2008;2077
Randers;Total;H70 Masters programs;Age, total;Total;2011;2384
Randers;Total;H70 Masters programs;Age, total;Total;2015;2774
Randers;Total;H70 Masters programs;Age, total;Total;2019;3239
Randers;Total;H70 Masters programs;Age, total;Total;2022;3794
Samsø;Total;H70 Masters programs;Age, total;Total;2008;106
Samsø;Total;H70 Masters programs;Age, total;Total;2011;101
Samsø;Total;H70 Masters programs;Age, total;Total;2015;115
Samsø;Total;H70 Masters programs;Age, total;Total;2019;133
Samsø;Total;H70 Masters programs;Age, total;Total;2022;178
Silkeborg;Total;H70 Masters programs;Age, total;Total;2008;2781
Silkeborg;Total;H70 Masters programs;Age, total;Total;2011;3201
Silkeborg;Total;H70 Masters programs;Age, total;Total;2015;3789
Silkeborg;Total;H70 Masters programs;Age, total;Total;2019;5006
Silkeborg;Total;H70 Masters programs;Age, total;Total;2022;6522
Skanderborg;Total;H70 Masters programs;Age, total;Total;2008;2653
Skanderborg;Total;H70 Masters programs;Age, total;Total;2011;3128
Skanderborg;Total;H70 Masters programs;Age, total;Total;2015;3762
Skanderborg;Total;H70 Masters programs;Age, total;Total;2019;5002
Skanderborg;Total;H70 Masters programs;Age, total;Total;2022;6062
Syddjurs;Total;H70 Masters programs;Age, total;Total;2008;1284
Syddjurs;Total;H70 Masters programs;Age, total;Total;2011;1418
Syddjurs;Total;H70 Masters programs;Age, total;Total;2015;1599
Syddjurs;Total;H70 Masters programs;Age, total;Total;2019;1952
Syddjurs;Total;H70 Masters programs;Age, total;Total;2022;2359
Aarhus;Total;H70 Masters programs;Age, total;Total;2008;22345
Aarhus;Total;H70 Masters programs;Age, total;Total;2011;26224
Aarhus;Total;H70 Masters programs;Age, total;Total;2015;32185
Aarhus;Total;H70 Masters programs;Age, total;Total;2019;40739
Aarhus;Total;H70 Masters programs;Age, total;Total;2022;44725
Herning;Total;H70 Masters programs;Age, total;Total;2008;1570
Herning;Total;H70 Masters programs;Age, total;Total;2011;1803
Herning;Total;H70 Masters programs;Age, total;Total;2015;2292
Herning;Total;H70 Masters programs;Age, total;Total;2019;2771
Herning;Total;H70 Masters programs;Age, total;Total;2022;3145
Holstebro;Total;H70 Masters programs;Age, total;Total;2008;1334
Holstebro;Total;H70 Masters programs;Age, total;Total;2011;1410
