OMRÅDE;ENHED;KOEN;INDKOMSTTYPE;TID;INDHOLD
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2021;275721
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2022;277090
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2023;290450
Tårnby;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2024;299878
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1987;88939
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1988;92579
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1989;96995
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1990;100005
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1991;103882
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1992;107099
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1993;110386
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1994;118003
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1995;122807
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1996;128352
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1997;134710
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1998;141157
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1999;145389
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2000;152317
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2001;158242
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2002;164044
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2003;169496
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2004;178531
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2005;189733
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2006;195813
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2007;199676
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2008;198348
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2009;199095
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2010;218907
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2011;225103
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2012;230320
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2013;236677
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2014;244283
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2015;256174
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2016;255631
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2017;260813
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2018;266919
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2019;278323
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2020;288000
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2021;307038
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2022;303829
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2023;326620
Province Københavns omegn;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2024;330252
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1987;83540
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1988;87075
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1989;90616
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1990;93620
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1991;96601
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1992;99553
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1993;102212
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1994;108465
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1995;112856
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1996;116396
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1997;120198
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1998;125918
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);1999;130219
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2000;133963
Albertslund;Average income for all people (DKK);Men and women, total;1 Disposable income (2+30-31-32-35);2001;139040
