OMRÅDE;OVERTRÆD;TID;INDHOLD
Albertslund;Nature of the offence, total;2013Q2;835
Albertslund;Nature of the offence, total;2013Q3;856
Albertslund;Nature of the offence, total;2013Q4;825
Albertslund;Nature of the offence, total;2014Q1;675
Albertslund;Nature of the offence, total;2014Q2;606
Albertslund;Nature of the offence, total;2014Q3;728
Albertslund;Nature of the offence, total;2014Q4;770
Albertslund;Nature of the offence, total;2015Q1;663
Albertslund;Nature of the offence, total;2015Q2;682
Albertslund;Nature of the offence, total;2015Q3;536
Albertslund;Nature of the offence, total;2015Q4;703
Albertslund;Nature of the offence, total;2016Q1;535
Albertslund;Nature of the offence, total;2016Q2;654
Albertslund;Nature of the offence, total;2016Q3;661
Albertslund;Nature of the offence, total;2016Q4;917
Albertslund;Nature of the offence, total;2017Q1;648
Albertslund;Nature of the offence, total;2017Q2;565
Albertslund;Nature of the offence, total;2017Q3;758
Albertslund;Nature of the offence, total;2017Q4;567
Albertslund;Nature of the offence, total;2018Q1;510
Albertslund;Nature of the offence, total;2018Q2;774
Albertslund;Nature of the offence, total;2018Q3;618
Albertslund;Nature of the offence, total;2018Q4;605
Albertslund;Nature of the offence, total;2019Q1;694
Albertslund;Nature of the offence, total;2019Q2;611
Albertslund;Nature of the offence, total;2019Q3;651
Albertslund;Nature of the offence, total;2019Q4;651
Albertslund;Nature of the offence, total;2020Q1;714
Albertslund;Nature of the offence, total;2020Q2;1356
Albertslund;Nature of the offence, total;2020Q3;683
Albertslund;Nature of the offence, total;2020Q4;620
Albertslund;Nature of the offence, total;2021Q1;597
Albertslund;Nature of the offence, total;2021Q2;464
Albertslund;Nature of the offence, total;2021Q3;481
Albertslund;Nature of the offence, total;2021Q4;475
Albertslund;Nature of the offence, total;2022Q1;622
Albertslund;Nature of the offence, total;2022Q2;743
Albertslund;Nature of the offence, total;2022Q3;549
Albertslund;Nature of the offence, total;2022Q4;569
Albertslund;Nature of the offence, total;2023Q1;642
Albertslund;Nature of the offence, total;2023Q2;599
Albertslund;Nature of the offence, total;2023Q3;603
Albertslund;Nature of the offence, total;2023Q4;574
Albertslund;Nature of the offence, total;2024Q1;530
Albertslund;Nature of the offence, total;2024Q2;655
Albertslund;Nature of the offence, total;2024Q3;669
Albertslund;Nature of the offence, total;2024Q4;594
Albertslund;Nature of the offence, total;2025Q1;545
Albertslund;Nature of the offence, total;2025Q2;553
Albertslund;Nature of the offence, total;2025Q3;637
Albertslund;Nature of the offence, total;2025Q4;608
Ballerup;Nature of the offence, total;2007Q1;1160
Ballerup;Nature of the offence, total;2007Q2;1207
Ballerup;Nature of the offence, total;2007Q3;1118
Ballerup;Nature of the offence, total;2007Q4;1116
Ballerup;Nature of the offence, total;2008Q1;1087
Ballerup;Nature of the offence, total;2008Q2;1094
Ballerup;Nature of the offence, total;2008Q3;1102
Ballerup;Nature of the offence, total;2008Q4;1309
Ballerup;Nature of the offence, total;2009Q1;1224
Ballerup;Nature of the offence, total;2009Q2;1203
