BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
Holstebro;Total;Total;Age, total;Total;2015;39764
Holstebro;Total;Total;Age, total;Total;2019;39573
Holstebro;Total;Total;Age, total;Total;2022;39581
Ikast-Brande;Total;Total;Age, total;Total;2008;27913
Ikast-Brande;Total;Total;Age, total;Total;2011;28212
Ikast-Brande;Total;Total;Age, total;Total;2015;28087
Ikast-Brande;Total;Total;Age, total;Total;2019;28105
Ikast-Brande;Total;Total;Age, total;Total;2022;28656
Lemvig;Total;Total;Age, total;Total;2008;15031
Lemvig;Total;Total;Age, total;Total;2011;14735
Lemvig;Total;Total;Age, total;Total;2015;13987
Lemvig;Total;Total;Age, total;Total;2019;13170
Lemvig;Total;Total;Age, total;Total;2022;12768
Ringkøbing-Skjern;Total;Total;Age, total;Total;2008;40193
Ringkøbing-Skjern;Total;Total;Age, total;Total;2011;39570
Ringkøbing-Skjern;Total;Total;Age, total;Total;2015;38777
Ringkøbing-Skjern;Total;Total;Age, total;Total;2019;37918
Ringkøbing-Skjern;Total;Total;Age, total;Total;2022;37456
Skive;Total;Total;Age, total;Total;2008;33471
Skive;Total;Total;Age, total;Total;2011;33003
Skive;Total;Total;Age, total;Total;2015;31943
Skive;Total;Total;Age, total;Total;2019;31024
Skive;Total;Total;Age, total;Total;2022;30258
Struer;Total;Total;Age, total;Total;2008;15755
Struer;Total;Total;Age, total;Total;2011;15300
Struer;Total;Total;Age, total;Total;2015;14601
Struer;Total;Total;Age, total;Total;2019;13971
Struer;Total;Total;Age, total;Total;2022;13662
Viborg;Total;Total;Age, total;Total;2008;64557
Viborg;Total;Total;Age, total;Total;2011;65290
Viborg;Total;Total;Age, total;Total;2015;66046
Viborg;Total;Total;Age, total;Total;2019;65818
Viborg;Total;Total;Age, total;Total;2022;65889
Region Nordjylland;Total;Total;Age, total;Total;2008;408516
Region Nordjylland;Total;Total;Age, total;Total;2011;409894
Region Nordjylland;Total;Total;Age, total;Total;2015;409787
Region Nordjylland;Total;Total;Age, total;Total;2019;405362
Region Nordjylland;Total;Total;Age, total;Total;2022;405283
Brønderslev;Total;Total;Age, total;Total;2008;24368
Brønderslev;Total;Total;Age, total;Total;2011;24328
Brønderslev;Total;Total;Age, total;Total;2015;24236
Brønderslev;Total;Total;Age, total;Total;2019;24037
Brønderslev;Total;Total;Age, total;Total;2022;24019
Frederikshavn;Total;Total;Age, total;Total;2008;43931
Frederikshavn;Total;Total;Age, total;Total;2011;42916
Frederikshavn;Total;Total;Age, total;Total;2015;41385
Frederikshavn;Total;Total;Age, total;Total;2019;39596
Frederikshavn;Total;Total;Age, total;Total;2022;38639
Hjørring;Total;Total;Age, total;Total;2008;46548
Hjørring;Total;Total;Age, total;Total;2011;46130
Hjørring;Total;Total;Age, total;Total;2015;45012
Hjørring;Total;Total;Age, total;Total;2019;43453
Hjørring;Total;Total;Age, total;Total;2022;42614
Jammerbugt;Total;Total;Age, total;Total;2008;27088
Jammerbugt;Total;Total;Age, total;Total;2011;26848
Jammerbugt;Total;Total;Age, total;Total;2015;26272
Jammerbugt;Total;Total;Age, total;Total;2019;25497
Jammerbugt;Total;Total;Age, total;Total;2022;25018
Læsø;Total;Total;Age, total;Total;2008;1334
Læsø;Total;Total;Age, total;Total;2011;1306
Læsø;Total;Total;Age, total;Total;2015;1201
Læsø;Total;Total;Age, total;Total;2019;1094
Læsø;Total;Total;Age, total;Total;2022;1062
Mariagerfjord;Total;Total;Age, total;Total;2008;29726
Mariagerfjord;Total;Total;Age, total;Total;2011;29795
Mariagerfjord;Total;Total;Age, total;Total;2015;29197
Mariagerfjord;Total;Total;Age, total;Total;2019;28480
Mariagerfjord;Total;Total;Age, total;Total;2022;28184
Morsø;Total;Total;Age, total;Total;2008;15134
Morsø;Total;Total;Age, total;Total;2011;14720
Morsø;Total;Total;Age, total;Total;2015;14103
Morsø;Total;Total;Age, total;Total;2019;13353
Morsø;Total;Total;Age, total;Total;2022;13087
Rebild;Total;Total;Age, total;Total;2008;19771
Rebild;Total;Total;Age, total;Total;2011;19862
Rebild;Total;Total;Age, total;Total;2015;19678
Rebild;Total;Total;Age, total;Total;2019;19929
