VALRES;OMRÅDE;TID;INDHOLD
VALID VOTES;Thisted;2007;29045
VALID VOTES;Thisted;2011;28909
VALID VOTES;Thisted;2015;28111
VALID VOTES;Thisted;2019;27194
VALID VOTES;Thisted;2022;26786
VALID VOTES;Vesthimmerlands;2007;23572
VALID VOTES;Vesthimmerlands;2011;23601
VALID VOTES;Vesthimmerlands;2015;22866
VALID VOTES;Vesthimmerlands;2019;21988
VALID VOTES;Vesthimmerlands;2022;21938
VALID VOTES;Aalborg;2007;125880
VALID VOTES;Aalborg;2011;130139
VALID VOTES;Aalborg;2015;131219
VALID VOTES;Aalborg;2019;134625
VALID VOTES;Aalborg;2022;138437
A. The Social Democratic Party;Copenhagen;2007;75695
A. The Social Democratic Party;Copenhagen;2011;61995
A. The Social Democratic Party;Copenhagen;2015;73080
A. The Social Democratic Party;Copenhagen;2019;58047
A. The Social Democratic Party;Copenhagen;2022;63042
A. The Social Democratic Party;Frederiksberg;2007;13106
A. The Social Democratic Party;Frederiksberg;2011;10797
A. The Social Democratic Party;Frederiksberg;2015;14129
A. The Social Democratic Party;Frederiksberg;2019;10185
A. The Social Democratic Party;Frederiksberg;2022;12047
A. The Social Democratic Party;Dragør;2007;1661
A. The Social Democratic Party;Dragør;2011;1404
A. The Social Democratic Party;Dragør;2015;1983
A. The Social Democratic Party;Dragør;2019;1783
A. The Social Democratic Party;Dragør;2022;2141
A. The Social Democratic Party;Tårnby;2007;7441
A. The Social Democratic Party;Tårnby;2011;6509
A. The Social Democratic Party;Tårnby;2015;7561
A. The Social Democratic Party;Tårnby;2019;7864
A. The Social Democratic Party;Tårnby;2022;8996
A. The Social Democratic Party;Albertslund;2007;4944
A. The Social Democratic Party;Albertslund;2011;4823
A. The Social Democratic Party;Albertslund;2015;4836
A. The Social Democratic Party;Albertslund;2019;4464
A. The Social Democratic Party;Albertslund;2022;4627
A. The Social Democratic Party;Ballerup;2007;10760
A. The Social Democratic Party;Ballerup;2011;9950
A. The Social Democratic Party;Ballerup;2015;10487
A. The Social Democratic Party;Ballerup;2019;9601
A. The Social Democratic Party;Ballerup;2022;9939
A. The Social Democratic Party;Brøndby;2007;6711
A. The Social Democratic Party;Brøndby;2011;6455
A. The Social Democratic Party;Brøndby;2015;6635
A. The Social Democratic Party;Brøndby;2019;6404
A. The Social Democratic Party;Brøndby;2022;6364
A. The Social Democratic Party;Gentofte;2007;5938
A. The Social Democratic Party;Gentofte;2011;5342
A. The Social Democratic Party;Gentofte;2015;7850
A. The Social Democratic Party;Gentofte;2019;5163
A. The Social Democratic Party;Gentofte;2022;5717
A. The Social Democratic Party;Gladsaxe;2007;10780
A. The Social Democratic Party;Gladsaxe;2011;10329
A. The Social Democratic Party;Gladsaxe;2015;11629
A. The Social Democratic Party;Gladsaxe;2019;9977
A. The Social Democratic Party;Gladsaxe;2022;10387
A. The Social Democratic Party;Glostrup;2007;4173
A. The Social Democratic Party;Glostrup;2011;3969
A. The Social Democratic Party;Glostrup;2015;4209
A. The Social Democratic Party;Glostrup;2019;3928
A. The Social Democratic Party;Glostrup;2022;4225
